GID_2,fips,RUCC_2013,rucc_grouped,pop_size,perc_african_american,perc_latino_hispanic,perc_unemployed,perc_graduated,perc_urban_pop,entropy_coloc,entropy_sci,extroversion_coloc,extroversion_sci,proximity_rep_coloc,proximity_dem_coloc,proximity_rep_sci,proximity_dem_sci,proximity_rep_comm,proximity_dem_comm,proximity_rep_res,proximity_dem_res,perc_nv_rep,perc_nv_dem,n_swing,n_swing_0820,segregation_off,segregation_on,segregation_res
USA.18.101_1,21201,8,4,2196.0,0.002732240437158,0.008196721311475,0.086433260393873,0.074127905,0.0,0.1481162923604391,0.2119382966848741,0.27,0.5315,0.7002,0.2696,0.6976,0.2678,0.7128,0.2683,0.2044,0.7777,0.7133,0.2679,0,0,0.7118526022540206,0.7193382772390189,0.15525241795717565
USA.18.102_1,21203,7,3,16167.0,0.000989670316076,0.010144120739779,0.072187163306141,0.11510004,0.0,0.2037125162677791,0.3166006846318323,0.3572,0.758,0.7919,0.1729,0.7713,0.174,0.8285999999999999,0.1548999999999999,0.7819,0.1778,0.8307,0.153,0,0,0.8311384069899962,0.8387763833428408,0.8134958349639403
USA.18.103_1,21205,7,3,24654.0,0.018698791271193,0.018982720856656,0.040054372451291,0.25639161,0.3801,0.2238375081295786,0.4333379974658115,0.5656,2.0563,0.6048,0.3573,0.63,0.3048,0.5700000000000001,0.401,0.3344,0.6134,0.5689,0.4021,0,1,0.5959225022160314,0.644751853964632,0.31978531894672113
USA.18.104_1,21207,9,4,17909.0,0.012507677703948,0.03830476296834,0.067810026385224,0.12610675,0.0,0.2031731782745521,0.2557268689928939,0.4421,0.5562,0.8022,0.1648,0.7853999999999999,0.1653,0.8240000000000001,0.1581,0.7659,0.2068,0.8272,0.155,0,0,0.8427884006584778,0.855034227039361,0.7883378990328171
USA.18.105_1,21209,2,1,56267.0,0.047292373860344,0.044040023459577,0.032401589511938,0.26437134,0.677,0.2452628321981342,0.5520334264390223,0.5223,2.9454,0.6209,0.3351,0.6241,0.2808,0.6163000000000001,0.3507999999999999,0.48,0.4659,0.6172,0.3499,0,0,0.620172217297708,0.6576583000570451,0.48364734164476997
USA.18.106_1,21211,1,1,47523.0,0.063695473770595,0.096542726679713,0.036856717498893,0.23181278,0.4824,0.1813052735549381,0.4790398241841225,0.3015,1.8063,0.6293,0.3262,0.6103,0.2919,0.6541,0.3182999999999999,0.4688,0.4711,0.6374,0.3345,0,0,0.6311257439533999,0.6399030233884768,0.47447867166098284
USA.18.107_1,21213,6,3,19324.0,0.090509211343407,0.026909542537777,0.041284403669725,0.15708615,0.594,0.1553422568131708,0.2965761689706785,0.2317,0.5621,0.6475000000000001,0.3072,0.6388,0.2886,0.6524,0.323,0.3894,0.5539,0.6541,0.3218,0,0,0.654678992022287,0.6625784369652025,0.38379828926035675
USA.18.108_1,21215,1,1,19256.0,0.017085583714167,0.025498545907769,0.05697520348287,0.16452241,0.0,0.2020143178284385,0.3845051059575101,0.3525,0.9136,0.6969000000000001,0.2601,0.6643,0.2512,0.7313999999999999,0.2437,0.5313,0.4179,0.7332,0.2418,0,0,0.7157781435988351,0.7074301197946378,0.5391625202661151
USA.18.109_1,21217,7,3,25948.0,0.046477570525667,0.025050100200401,0.062347860227719,0.14878096,0.4914,0.1751064225474128,0.3603533659276608,0.4165,1.4388,0.7225000000000001,0.2463,0.7016,0.2384,0.7228,0.2563,0.5377,0.4151,0.7249,0.2542,0,0,0.7407243256933014,0.7431545921277809,0.5443059205009224
USA.18.110_1,21219,8,4,12206.0,0.078076355890546,0.045961002785515,0.03419629057187,0.10054903,0.0,0.1320755775568565,0.2972826581161142,0.196,0.6137,0.7132,0.2499,0.6828000000000001,0.2476,0.7293999999999999,0.2508,0.2938,0.6731,0.7338,0.2467,0,0,0.7325566670887678,0.7231888191671421,0.2637110750824621
USA.18.111_1,21221,2,1,14067.0,0.071941423189024,0.023601336461221,0.048671096345515,0.15441437,0.0,0.17841927572503,0.3348890682921009,0.2947,0.8158,0.6929,0.2614,0.6724,0.2554,0.7135999999999999,0.2651,0.4495,0.5085,0.7149,0.2639,0,0,0.7124224389008483,0.7102110667427267,0.4427796723877677
USA.18.112_1,21223,1,1,8502.0,0.001999529522465,0.033874382498236,0.093489148580968,0.13125201,0.0,0.1967436732303672,0.2980780696182716,0.4513,0.9461,0.6708,0.2902,0.654,0.2856,0.6927,0.2828,0.2855,0.6663,0.6929,0.2827,0,0,0.680195010763581,0.6755561893896178,0.26287247721809137
